IDOMMstation;Date;Pressionauniveaumer;Variation de pression en 3 heures;Type de tendance barométrique;Directionduventmoyen10mn;Vitesseduventmoyen10mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitationsdansles3dernièresheures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteurdebase4;Coordonnees;Nom;Typedetendance barometrique;Tempspassé1;Tempspresent
71805;2018-10-30T13:00:00+01:00;100650;-110;6;40;3.0;282.75;282.65;99;350;45;Brouillard ou brouillard glacé ou brume sèche épaisse;4;101;9;;62;61;60;100570;;;-440;;;;;282.450000;;;4.200000;4.300000;-10;2;0.000000;0.000000;-60;-0.1;-0.1;-0.100000;-0.1;1.2;;;;;9;59;;;;;;;;;;;46.766333, -56.179167;ST-PIERRE;6;Brouillard ou brouillard glacé ou brume sèche épaisse;45
07015;2018-10-20T14:00:00+02:00;103200;-10;8;30;2.0;287.65;279.45;58;14120;0;;;;0;;;;;102630;;;720;;;;;276.450000;;;3.800000;4.400000;-10;0;;;;0.0;0.0;0.000000;0.2;0.2;;;;;;;;;;;;;;;;;50.57, 3.0975;LILLE-LESQUIN;8;;0
71805;2018-10-20T14:00:00+02:00;102140;50;3;200;11.1;280.75;275.25;68;40000;3;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;100;3;1250;35;27;;102050;;;1690;;;;;279.550000;;;15.000000;17.000000;-10;0;0.000000;0.000000;-60;0.0;0.0;0.000000;-0.1;-0.1;;;;;3;6;1200;7;4;4000;;;;;;;46.766333, -56.179167;ST-PIERRE;3;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;3
81415;2018-10-20T14:00:00+02:00;101200;;3;10;1.2;302.75;296.45;69;;;;;;;;;;;100000;;;100;;296.350000;;309.450000;;;;;;;;;;;0.0;0.0;0.000000;0.0;0.0;;;;;;;;;;;;;;;;;3.640167, -54.028333;MARIPASOULA;3;;
07761;2018-10-20T17:00:00+02:00;102080;-50;6;190;2.8;295.65;291.85;79;19790;0;;;100;8;4500;;;;101970;;;530;;;;;286.950000;;;4.100000;4.300000;-10;;0.000000;;;0.0;0.0;0.000000;0.0;0.0;;;;;8;;4500;;;;;;;;;;41.918, 8.792667;AJACCIO;6;;0
78890;2018-10-20T17:00:00+02:00;101230;;0;80;7.0;303.15;295.55;64;;;;;;;;;;;100910;;;-80;;299.450000;;303.650000;;;;;;;;;;;0.0;0.0;0.000000;0.0;0.0;;;;;;;;;;;;;;;;;16.335, -61.004;LA DESIRADE METEO;0;;
07110;2018-10-20T20:00:00+02:00;102970;30;3;40;3.6;285.65;283.55;87;12890;0;;;;0;;;;;101780;;;320;281.350000;;290.450000;;281.050000;;;5.600000;5.600000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.4;;;;;;;;;;;;;;;;;48.444167, -4.412;BREST-GUIPAVAS;3;;0
07280;2018-10-20T20:00:00+02:00;102700;80;3;250;3.9;289.25;282.45;64;13450;0;;;;;;;;;100000;;;540;281.950000;;294.050000;;283.950000;;;4.700000;7.100000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.0;;;;;;;;;;;;;;;;;47.267833, 5.088333;DIJON-LONGVIC;3;;0
07591;2018-10-20T20:00:00+02:00;;180;3;350;1.1;288.85;282.25;65;20000;0;;;;;;;;;92330;;858;360;281.950000;;295.750000;;279.850000;;;1.600000;2.200000;-10;;;;;0.0;0.0;0.000000;0.0;0.0;;;;;;;;;;;;;;;;;44.565667, 6.502333;EMBRUN;3;;0
07790;2018-10-20T20:00:00+02:00;102130;70;3;240;1.6;290.15;287.95;87;11830;0;;;;0;;;;;101990;;;370;289.350000;;296.850000;;289.550000;;;2.200000;2.500000;-10;;0.000000;;;0.0;0.0;0.000000;0.0;0.0;;;;;;;;;;;;;;;;;42.540667, 9.485167;BASTIA;3;;0
61972;2018-10-20T20:00:00+02:00;101960;;2;180;7.5;296.25;287.55;58;;;;;;;;;;;101890;;;300;;291.750000;;299.950000;;;;;;;;;;;0.0;0.0;0.000000;0.0;0.0;;;;;;;;;;;;;;;;;-22.344167, 40.340667;EUROPA;2;;
07110;2018-10-20T23:00:00+02:00;103030;50;3;60;4.4;283.15;281.75;91;7670;0;;;;0;;;;;101830;;;220;;;;;282.650000;;;5.800000;6.600000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.4;;;;;;;;;;;;;;;;;48.444167, -4.412;BREST-GUIPAVAS;3;;0
07747;2018-10-20T23:00:00+02:00;102400;90;1;240;0.8;290.15;288.45;90;9420;0;;;;0;;;;;101870;;;420;;;;;289.150000;;;1.200000;1.200000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.0;;;;;;;;;;;;;;;;;42.737167, 2.872833;PERPIGNAN;1;;0
78897;2018-10-20T23:00:00+02:00;100970;-30;5;80;4.9;300.95;295.85;74;40600;;;;;;;;;;100880;;;-150;;;;;;;;;;;;;;;-0.1;-0.1;-0.100000;-0.1;-0.1;;;;;;;;;;;;;;;;;16.264, -61.516333;LE RAIZET AERO;5;;
81405;2018-10-20T23:00:00+02:00;100790;40;3;80;3.5;301.85;296.05;71;33300;0;;;;3;5520;;;;100700;;;70;;;;;296.950000;;;5.800000;8.400000;-10;;;;;0.0;-0.1;-0.100000;-0.1;-0.1;;;;;3;;5520;;;;;;;;;;4.822333, -52.365333;CAYENNE-MATOURY;3;;0
61972;2018-10-21T02:00:00+02:00;101850;;5;190;6.7;295.45;289.95;71;;;;;;;;;;;101780;;;310;;291.750000;;299.950000;;;;;;;;;;;0.0;0.0;0.000000;0.0;0.0;;;;;;;;;;;;;;;;;-22.344167, 40.340667;EUROPA;5;;
81415;2018-10-21T02:00:00+02:00;100900;;3;0;0.0;299.55;296.85;85;;;;;;;;;;;99690;;;40;;296.350000;;307.650000;;;;;;;;;;;0.0;0.0;0.000000;0.0;0.0;;;;;;;;;;;;;;;;;3.640167, -54.028333;MARIPASOULA;3;;
07627;2018-10-21T05:00:00+02:00;102470;-100;6;310;0.9;285.05;284.45;96;160;45;;;101;9;30;;;;97550;;;310;;;;;285.550000;;;1.700000;2.000000;-10;1;0.000000;;;0.2;0.2;0.200000;0.2;0.4;;;;;0;0;;;;;;;;;;;43.005333, 1.106833;ST GIRONS;6;;45
07222;2018-10-18T05:00:00+02:00;101830;0;5;30;2.4;287.05;285.45;90;18200;0;;;100;8;3300;;;;101520;;;-80;;;;;284.150000;;;4.600000;5.200000;-10;1;0.000000;;;0.0;0.0;-0.100000;0.4;0.6;;;;;8;;3300;;;;;;;;;;47.15, -1.608833;NANTES-BOUGUENAIS;5;;0
07434;2018-10-18T11:00:00+02:00;101730;110;3;60;4.6;289.05;281.75;62;30810;0;;;100;8;4560;;;;97040;;;-120;;;;;285.950000;;;8.300000;8.300000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.0;;;;;8;;4560;;;;;;;;;;45.861167, 1.175;LIMOGES-BELLEGARDE;3;;0
71805;2018-10-18T11:00:00+02:00;99530;-480;6;190;6.2;282.45;281.55;94;4000;60;Pluie;6;100;7;150;35;;;99450;;;-1070;;;;;281.550000;;;8.700000;17.500000;-10;2;0.000000;0.000000;-30;-0.1;3.4;4.200000;4.2;4.2;;;;;3;7;150;7;6;550;;;;;;;46.766333, -56.179167;ST-PIERRE;6;Pluie;60
07627;2018-10-18T14:00:00+02:00;101520;-50;8;30;1.2;289.15;286.45;84;16880;0;;;100;8;450;;;;96720;;;-120;;;;;285.850000;;;3.100000;3.100000;-10;1;0.000000;;;0.2;0.2;1.600000;2.8;2.8;;;;;7;;330;8;;570;;;;;;;43.005333, 1.106833;ST GIRONS;8;;0
07434;2018-10-18T17:00:00+02:00;101510;-70;6;20;4.0;293.55;282.75;50;34870;0;;;;1;4620;;;;96900;;;70;;;;;285.950000;;;7.600000;9.200000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.0;;;;;1;;4620;;;;;;;;;;45.861167, 1.175;LIMOGES-BELLEGARDE;6;;0
07690;2018-10-18T17:00:00+02:00;101210;-120;8;90;4.4;296.05;289.55;67;25000;1;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;40;1;;30;23;11;100910;;;-190;;;;;290.250000;;;5.700000;5.700000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;-0.1;;;;;1;3;4000;3;0;7000;;;;;;;43.648833, 7.209;NICE;8;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;1
89642;2018-10-18T17:00:00+02:00;97810;320;3;190;4.1;253.95;245.45;43;;;;;;;;;;;97250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-66.663167, 140.001;DUMONT D'URVILLE;3;;
07117;2018-10-18T20:00:00+02:00;102320;50;3;60;7.9;288.75;286.55;87;10000;;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;;;;;;;;101630;;;350;288.550000;;289.650000;;;;;11.300000;12.000000;-10;1;;;;0.0;0.0;0.000000;0.0;0.0;;;;;;;;;;;;;;;;;48.825833, -3.473167;PLOUMANAC'H;3;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;
07207;2018-10-18T20:00:00+02:00;102040;90;3;30;7.9;289.45;285.45;77;;;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;;;;;;;;101530;;;170;287.750000;;293.750000;;;;;11.100000;11.300000;-10;;;;;0.0;0.0;0.000000;0.0;0.0;;;;;;;;;;;;;;;;;47.294333, -3.218333;BELLE ILE-LE TALUT;3;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;
61998;2018-10-18T20:00:00+02:00;100900;170;3;230;12.3;274.45;268.75;66;;;;;;;;;;;100520;;;230;;;275.750000;;;;;;18.000000;-10;;;;;0.0;;;0.2;;;;;;;;;;;;;;;;;;-49.352333, 70.243333;KERGUELEN;3;;
81408;2018-10-18T20:00:00+02:00;100670;;6;100;4.2;307.15;295.25;50;;;;;;;;;;;100590;;;-260;;296.050000;;308.450000;;;;;;;;;;;0.0;0.0;0.000000;0.0;0.0;;;;;;;;;;;;;;;;;3.890667, -51.804667;SAINT GEORGES;6;;
81415;2018-10-18T23:00:00+02:00;100710;;3;140;2.1;305.35;295.15;55;;;;;;;;;;;99530;;;-90;;297.050000;;308.750000;;;;;;;;;;;0.0;0.0;0.200000;0.2;0.2;;;;;;;;;;;;;;;;;3.640167, -54.028333;MARIPASOULA;3;;
07168;2018-10-19T02:00:00+02:00;102140;0;5;300;2.9;283.05;282.25;95;2070;10;;;;0;;;;;100700;;;230;;;;;282.150000;;;3.900000;4.100000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;0.2;;;;;;;;;;;;;;;;;48.324667, 4.02;TROYES-BARBEREY;5;;10
07181;2018-10-19T02:00:00+02:00;102170;0;0;330;1.1;282.95;282.15;95;1910;10;;;;0;;;;;98060;;;230;;;;;279.250000;;;1.800000;3.100000;-10;;;;;0.0;0.0;0.000000;0.0;0.0;;;;;;;;;;;;;;;;;48.581, 5.959833;NANCY-OCHEY;0;;10
07139;2018-10-28T19:00:00+01:00;100900;-40;8;30;9.0;278.75;271.15;58;20000;0;;;100;8;3780;;;;99130;;;-230;276.450000;;281.250000;;280.750000;;;14.600000;15.400000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;-0.1;;;;;8;;3780;;;;;;;;;;48.4455, 0.110167;ALENCON;8;;0
07335;2018-10-28T19:00:00+01:00;100460;-20;5;30;10.8;277.35;276.15;92;3490;61;;;100;8;450;;;;98990;;;-440;276.650000;;280.150000;;277.950000;;;18.800000;18.800000;-10;2;0.000000;;;1.0;4.7;8.300000;8.3;8.3;;;;;8;;300;;8;;;;;;;;46.593833, 0.314333;POITIERS-BIARD;5;;61
07790;2018-10-28T19:00:00+01:00;100010;70;3;170;2.8;288.45;285.75;84;60000;0;;;;0;;;;;99870;;;80;288.450000;;296.150000;;287.450000;;;4.300000;4.300000;-10;;0.000000;;;0.0;0.0;0.000000;0.6;1.2;;;;;;;;;;;;;;;;;42.540667, 9.485167;BASTIA;3;;0
78890;2018-10-28T22:00:00+01:00;101200;;3;160;4.4;298.85;294.75;78;;;;;;;;;;;100880;;;-40;;298.150000;;304.850000;;;;;;;;;;;5.2;5.2;7.200000;7.2;7.2;;;;;;;;;;;;;;;;;16.335, -61.004;LA DESIRADE METEO;3;;
78897;2018-11-06T13:00:00+01:00;101320;230;3;290;1.1;300.45;298.05;87;53660;;;;;;;;;;101230;;;-50;;;;;;;;;;;;;;;0.2;0.8;0.800000;2.2;6.4;;;;;;;;;;;;;;;;;16.264, -61.516333;LE RAIZET AERO;3;;
07434;2018-11-06T16:00:00+01:00;100710;40;3;190;6.3;282.85;279.75;81;55080;0;;;90;7;800;;;;95970;;;470;;;;;282.950000;;;10.100000;10.500000;-10;0;0.000000;;;0.0;-0.1;0.600000;0.8;4.2;;;;;5;;600;7;;1230;;;;;;;45.861167, 1.175;LIMOGES-BELLEGARDE;3;;0
61996;2018-11-06T16:00:00+01:00;102960;210;3;140;3.1;285.55;283.25;86;;;;;;;;;;;102610;;;;;;;;;;;;5.100000;-10;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;-37.795167, 77.569167;NOUVELLE AMSTERDAM;3;;
07434;2018-11-06T19:00:00+01:00;100790;50;1;170;5.9;281.65;279.95;89;54330;0;;;100;8;450;;;;96020;;;510;281.650000;;283.650000;;282.150000;;;9.200000;10.200000;-10;1;0.000000;;;-0.1;-0.1;-0.100000;0.6;4.2;;;;;8;;360;;;;;;;;;;45.861167, 1.175;LIMOGES-BELLEGARDE;1;;0
81415;2018-11-06T19:00:00+01:00;100720;;8;50;2.1;306.65;296.35;55;;;;;;;;;;;99540;;;-90;;296.650000;;307.250000;;;;;;;;;;;0.0;0.0;0.000000;0.0;2.2;;;;;;;;;;;;;;;;;3.640167, -54.028333;MARIPASOULA;8;;
07168;2018-11-07T01:00:00+01:00;100830;-40;5;180;2.3;278.45;278.05;97;20000;0;;;;0;;;;;99390;;;210;;;;;275.850000;;;2.800000;3.200000;-10;;0.000000;;;0.0;0.0;0.000000;-0.1;0.2;;;;;;;;;;;;;;;;;48.324667, 4.02;TROYES-BARBEREY;5;;0
07471;2018-11-07T01:00:00+01:00;;0;5;160;5.5;280.45;276.65;77;20000;0;;;;0;;;;;91440;;738;390;;;;;275.850000;;;12.400000;14.500000;-10;1;0.000000;;;0.0;0.0;0.000000;-0.1;18.8;;;;;;;;;;;;;;;;;45.0745, 3.764;LE PUY-LOUDES;5;;0
07630;2018-11-07T01:00:00+01:00;100880;-20;5;190;1.5;281.55;279.55;87;30820;0;;;;0;;;;;99070;;;610;;;;;280.350000;;;2.200000;3.100000;-10;;0.000000;;;0.0;0.0;0.000000;0.0;6.5;;;;;;;;;;;;;;;;;43.621, 1.378833;TOULOUSE-BLAGNAC;5;;0
